id,hts_8digit,material_type,chapter_99_claim,chapter_99_disclaim,duty_rate,country_code,article_type,effective_start,effective_end,source_doc,source_doc_id,created_at,created_by
104,73023000,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528175,populate_tariff_tables.py v13.0
105,73072110,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528175,populate_tariff_tables.py v13.0
106,73072110,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528176,populate_tariff_tables.py v13.0
107,73072150,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528176,populate_tariff_tables.py v13.0
108,73072150,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528176,populate_tariff_tables.py v13.0
109,73072210,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528177,populate_tariff_tables.py v13.0
110,73072210,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528177,populate_tariff_tables.py v13.0
111,73072250,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528177,populate_tariff_tables.py v13.0
112,73072250,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528178,populate_tariff_tables.py v13.0
113,73072300,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528178,populate_tariff_tables.py v13.0
114,73072300,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528178,populate_tariff_tables.py v13.0
115,73072900,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528179,populate_tariff_tables.py v13.0
116,73072900,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528179,populate_tariff_tables.py v13.0
117,73079110,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528179,populate_tariff_tables.py v13.0
118,73079110,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528180,populate_tariff_tables.py v13.0
119,73079130,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528180,populate_tariff_tables.py v13.0
120,73079130,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528181,populate_tariff_tables.py v13.0
121,73079150,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528181,populate_tariff_tables.py v13.0
122,73079150,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528181,populate_tariff_tables.py v13.0
123,73079230,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528182,populate_tariff_tables.py v13.0
124,73079230,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528182,populate_tariff_tables.py v13.0
125,73079290,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528182,populate_tariff_tables.py v13.0
126,73079290,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528183,populate_tariff_tables.py v13.0
127,73079330,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528183,populate_tariff_tables.py v13.0
128,73079330,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528183,populate_tariff_tables.py v13.0
1602,84512100,steel,,,0.2500,,,2025-06-23,,2025-11067,,2026-01-19T07:05:03.736158,system
129,73079360,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528184,populate_tariff_tables.py v13.0
130,73079360,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528184,populate_tariff_tables.py v13.0
131,85444290,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528185,populate_tariff_tables.py v13.0
132,85444220,copper,9903.78.01,9903.78.02,0.5000,,primary,2025-03-12,,Proclamation 10896 - Section 232 Copper Investigation,,2026-01-20T02:41:01.528185,populate_tariff_tables.py v13.0
133,73079390,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528185,populate_tariff_tables.py v13.0
134,73079390,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528186,populate_tariff_tables.py v13.0
